code,date,e,n,wqi
CLCB1,2025-02-01,105.15576,9.75633,55.1575021023593
CLCB1,2025-03-01,105.15576,9.75633,53.9083727089443
CLCB1,2025-04-01,105.15576,9.75633,53.7702784691564
CLCB1,2025-05-01,105.15576,9.75633,54.783207691776
CLCB1,2025-06-01,105.15576,9.75633,57.2570600684357
CLCB10,2023-04-01,105.38675,10.05539,40.9890081811805
CLCB10,2023-05-01,105.38675,10.05539,50.7572167124656
CLCB10,2023-06-01,105.38675,10.05539,50.6742071861327
CLCB10,2023-07-01,105.38675,10.05539,32.397033380521
CLCB10,2023-08-01,105.38675,10.05539,42.0503845396016
CLCB10,2023-09-01,105.38675,10.05539,34.1547825791792
CLCB10,2023-10-01,105.38675,10.05539,62.3617755394287
CLCB10,2023-11-01,105.38675,10.05539,51.5881972679346
CLCB10,2023-12-01,105.38675,10.05539,43.7468339653001
CLCB10,2024-01-01,105.38675,10.05539,35.4781407740857
CLCB10,2024-02-01,105.38675,10.05539,65.1745684061749
CLCB10,2024-03-01,105.38675,10.05539,35.9219876431465
CLCB10,2024-04-01,105.38675,10.05539,33.3235645627132
CLCB10,2024-05-01,105.38675,10.05539,38.0456975314429
CLCB10,2024-06-01,105.38675,10.05539,53.5360712998781
CLCB10,2024-07-01,105.38675,10.05539,36.7682119650534
CLCB10,2024-08-01,105.38675,10.05539,37.2054210047349
CLCB10,2024-09-01,105.38675,10.05539,35.482116853274
CLCB10,2024-10-01,105.38675,10.05539,36.6074359524273
CLCB10,2024-11-01,105.38675,10.05539,39.2026924424667
CLCB10,2024-12-01,105.38675,10.05539,36.220855295807
CLCB10,2025-01-01,105.38675,10.05539,53.6342122954148
CLCB10,2025-02-01,105.38675,10.05539,35.6514090391987
CLCB10,2025-03-01,105.38675,10.05539,52.7459307583299
CLCB10,2025-04-01,105.38675,10.05539,51.0271466501474
CLCB10,2025-05-01,105.38675,10.05539,68.3289067143265
CLCB10,2025-06-01,105.38675,10.05539,57.0843246105068
CLCB13,2023-11-01,105.1661,9.5305,51.5011969852611
CLCB13,2023-12-01,105.1661,9.5305,48.4794289996914
CLCB13,2024-01-01,105.1661,9.5305,50.8922493050862
CLCB13,2024-02-01,105.1661,9.5305,51.7980591352723
CLCB13,2024-03-01,105.1661,9.5305,50.251826062644
CLCB13,2024-04-01,105.1661,9.5305,49.1077381142555
CLCB13,2024-05-01,105.1661,9.5305,52.8616855153936
CLCB13,2024-06-01,105.1661,9.5305,36.9834863416926
CLCB13,2024-07-01,105.1661,9.5305,34.0303082533457
CLCB13,2024-08-01,105.1661,9.5305,34.4898961418141
